,precision,recall,f1-score,support
0.0,0.9361221028829847,0.8275862068965517,0.8785145888594164,2001.0
1.0,0.8506493506493507,0.9456207892204043,0.8956244302643575,2078.0
accuracy,0.8877175778377053,0.8877175778377053,0.8877175778377053,0.8877175778377053
macro avg,0.8933857267661677,0.886603498058478,0.8870695095618869,4079.0
weighted avg,0.8925789846820796,0.8877175778377053,0.8872310023037574,4079.0
